MMSI,BaseDateTime,LAT,LON,Heading,VesselName,CallSign,VesselType,Length,Width
353160000,2022-01-29T00:00:00,30.24092,-117.74666,40.0,MSC SONIA,3EUP7,79.0,365.0,50.0
355747000,2022-01-29T00:00:09,38.04393,-122.10958,244.0,POLA AUGUSTA,3FYI9,79.0,177.0,28.0
255806070,2022-01-29T00:00:08,32.90147,-78.82461,215.0,AS FLORETTA,CQIU4,70.0,166.0,25.0
636013693,2022-01-29T00:00:06,27.95998,-115.96574,341.0,YM UNIFORM,A8OR8,70.0,333.0,42.0
538007492,2022-01-29T00:00:03,48.37509,-123.27538,65.0,ELECTRA,V7QO5,70.0,229.0,36.0
316004370,2022-01-29T00:00:01,43.21641,-79.20755,238.0,G3 MARQUIS,XJBO,70.0,225.0,23.0
357547000,2022-01-29T00:00:07,48.60757,-126.02517,93.0,SAN DIEGO BRIDGE,3FTY6,70.0,293.0,40.0
215181000,2022-01-29T00:00:07,37.09813,-74.96031,127.0,CMA CGM J. ADAMS,9HA4999,71.0,366.0,48.0
353160000,2022-01-29T00:00:00,29.98973,-117.40076,38.0,MSC SONIA,3EUP7,79.0,365.0,50.0
209243000,2022-01-29T00:00:11,29.87534,-89.94057,115.0,PLATANOS,5BGU3,70.0,229.0,32.0
367050160,2022-01-29T00:00:05,46.71193,-92.04466,511.0,BURNS HARBOR,WDC6027,70.0,304.0,32.0
355283000,2022-01-29T00:00:04,30.52111,-117.33629,36.0,MSC LUCIANA,3FTY3,70.0,363.0,45.0
636020257,2022-01-29T00:00:02,30.60659,-119.17989,295.0,SEATTLE EXPRESS,A8PS5,71.0,293.0,32.0
372512000,2022-01-29T00:00:05,33.52772,-118.40364,4.0,NYK VENUS,3EJG5,70.0,338.0,45.0
565227000,2022-01-29T00:00:05,48.44318,-124.62316,111.0,PACIFICA,9V8831,70.0,138.0,21.0
636020327,2022-01-29T00:00:05,36.9231,-75.17332,249.0,C HAMBURG,D5WM7,71.0,334.0,43.0
